sales_region,product_category,Total Quantity,Total Sales Price
Central East,Bath products,543,1951.75
Central East,Gift Basket,267,6126.5
Central East,Olive Oil,1497,52212.0
N Central East,Bath products,721,2266.9
N Central East,Gift Basket,362,7746.5
N Central East,Olive Oil,1648,57482.25
N Central West,Bath products,63,264.26
N Central West,Gift Basket,26,774.5
N Central West,Olive Oil,87,3706.0
Northeast,Bath products,423,1508.29
Northeast,Gift Basket,254,6528.0
Northeast,Olive Oil,1259,44833.0
Northwest,Bath products,207,648.62
Northwest,Gift Basket,111,1945.0
Northwest,Olive Oil,430,16353.5
S Central East,Bath products,717,2635.94
S Central East,Gift Basket,445,8613.5
S Central East,Olive Oil,1945,70699.0
S Central West,Bath products,223,877.11
S Central West,Gift Basket,133,3615.5
S Central West,Olive Oil,623,24434.0
Southeast,Bath products,492,1841.79
Southeast,Gift Basket,302,6403.5
Southeast,Olive Oil,1450,47861.75
Southwest,Bath products,587,2198.06
Southwest,Gift Basket,325,7565.0
Southwest,Olive Oil,1383,48900.0
