id,borough,neighborhood,block,lot,easement,units,land_sqft,gross_sqft,year_built,sale_price
0,1,ALPHABET CITY,392,6, ,5,1633,6440,1900,6625000
1,1,ALPHABET CITY,399,26, ,31,4616,18690,1900, -  
2,1,ALPHABET CITY,399,39, ,17,2212,7803,1900, -  
4,1,ALPHABET CITY,404,55, ,6,2369,4615,1900,8000000
5,1,ALPHABET CITY,405,16, ,20,2581,9730,1900, -  
6,1,ALPHABET CITY,406,32, ,8,1750,4226,1920,3192840
7,1,ALPHABET CITY,407,18, ,46,5163,21007,1900, -  
9,1,ALPHABET CITY,387,153, ,24,4489,18523,1920,16232000
10,1,ALPHABET CITY,394,44, ,34,4295,21328,1910, -  
12,1,ALPHABET CITY,373,40, ,0, -  , -  ,1920,1
13,1,ALPHABET CITY,373,40, ,0, -  , -  ,1920,499000
14,1,ALPHABET CITY,373,40, ,0, -  , -  ,1920,10
15,1,ALPHABET CITY,373,40, ,0, -  , -  ,1920,529500
16,1,ALPHABET CITY,373,40, ,0, -  , -  ,1920,423000
19,1,ALPHABET CITY,373,49, ,0, -  , -  ,1920,510000
20,1,ALPHABET CITY,374,8, ,0, -  , -  ,1900, -  
21,1,ALPHABET CITY,375,30, ,0, -  , -  ,1902,350000
22,1,ALPHABET CITY,376,14, ,24,4131,16776,1928,11900000
24,1,ALPHABET CITY,376,16, ,0, -  , -  ,1928,350000
25,1,ALPHABET CITY,376,16, ,0, -  , -  ,1928,404000
26,1,ALPHABET CITY,376,19, ,0, -  , -  ,1910,535000
27,1,ALPHABET CITY,377,54, ,0, -  , -  ,1920,1400000
29,1,ALPHABET CITY,379,15, ,0, -  , -  ,1930,355000
30,1,ALPHABET CITY,379,15, ,0, -  , -  ,1930, -  
31,1,ALPHABET CITY,389,21, ,0, -  , -  ,1900,805000
32,1,ALPHABET CITY,389,49, ,0, -  , -  ,1910,475000
33,1,ALPHABET CITY,389,50, ,0, -  , -  ,1920,450000
35,1,ALPHABET CITY,390,55, ,0, -  , -  ,1935,810000
36,1,ALPHABET CITY,391,14, ,0, -  , -  ,1910, -  
37,1,ALPHABET CITY,391,14, ,0, -  , -  ,1910,300000
39,1,ALPHABET CITY,391,48, ,0, -  , -  ,1910,579000
40,1,ALPHABET CITY,391,57, ,0, -  , -  ,1900,1500000
41,1,ALPHABET CITY,393,39, ,0, -  , -  ,1900,25000
42,1,ALPHABET CITY,394,52, ,0, -  , -  ,1937,512000
43,1,ALPHABET CITY,394,52, ,0, -  , -  ,1937,410000
44,1,ALPHABET CITY,394,52, ,0, -  , -  ,1937,500000
45,1,ALPHABET CITY,394,52, ,0, -  , -  ,1937,510000
46,1,ALPHABET CITY,396,20, ,0, -  , -  ,1920,475000
47,1,ALPHABET CITY,396,20, ,0, -  , -  ,1920,789019
50,1,ALPHABET CITY,396,20, ,0, -  , -  ,1920,425000
53,1,ALPHABET CITY,397,25, ,0, -  , -  ,1915,415000
55,1,ALPHABET CITY,398,58, ,0, -  , -  ,1950,435000
57,1,ALPHABET CITY,400,45, ,0, -  , -  ,1937,605000
58,1,ALPHABET CITY,401,12, ,0, -  , -  ,1900,799000
59,1,ALPHABET CITY,401,12, ,0, -  , -  ,1900,800000
62,1,ALPHABET CITY,402,47, ,0, -  , -  ,1900,1475000
64,1,ALPHABET CITY,404,21, ,0, -  , -  ,1920,490000
65,1,ALPHABET CITY,404,26, ,0, -  , -  ,1928,750000
