,company,dropoff_census_tract,dropoff_centroid_latitude,dropoff_centroid_location,dropoff_centroid_longitude,dropoff_community_area,extras,fare,payment_type,pickup_census_tract,pickup_centroid_latitude,pickup_centroid_location,pickup_centroid_longitude,pickup_community_area,taxi_id,tips,tolls,trip_end_timestamp,trip_id,trip_miles,trip_seconds,trip_start_timestamp,trip_total,PickupHour,PickupMin,PickupTime
0,Northwest Management LLC,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,1,9.25,Credit Card,,41.87886558,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",-87.62519214,32,3d3472622ccc9f3a934b720530b57145b010f60cd2e91640020603fea7033d17010194626e79e196b96ff38b9f64345a8b9033aad496b6a208a2c97b1a4ca494,2.05,0,2017-07-07T00:00:00.000,1e7c701266b28d779f1cddc2f6978a8ebf589d7c,2.1,600,2017-07-07T00:00:00.000,12.3,,,
1,Top Cab Affiliation,,41.9442266,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",-87.65599818,6,0,15,Cash,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,e582bdc2b107b7199f911e7e6081b3c5ba6e936fe85cef961aa53514b90ff63d88fbb5725e19a9c16957ae421e5983a9860a10b5f15703675a4bae3dac9020e0,0,0,2017-07-07T00:15:00.000,2ba4bdae6ae44bb464565414349acf69bc7fcf18,5,660,2017-07-07T00:00:00.000,15,,,
2,Taxi Affiliation Services,17031330100,41.85934972,"{'type': 'Point', 'coordinates': [-87.6173580061, 41.859349715]}",-87.61735801,33,1,6.5,Cash,17031330100,41.85934972,"{'type': 'Point', 'coordinates': [-87.6173580061, 41.859349715]}",-87.61735801,33,ddc663f04e24fa7fce113ffbe21c5b9ab291c12f76786fcd895f6771f3d17b794369b9a237bcde26cc5f1e95da6fc294371dbc607f8687f3b85b4a84f806a122,0,0,2017-07-07T00:15:00.000,028f78a3b6ddd8024432dc05fd97f9c74605b06a,1.1,360,2017-07-07T00:00:00.000,7.5,,,
3,Top Cab Affiliation,,41.96581197,"{'type': 'Point', 'coordinates': [-87.6558787862, 41.96581197]}",-87.65587879,3,5,38,Cash,,41.98026432,"{'type': 'Point', 'coordinates': [-87.913624596, 41.9802643146]}",-87.9136246,76,cf9d594763b7b42b84d0a3c61f7ce63e7f491b3b0bb6a2babf6d4acf2e03cad2f530a19465f85e02dd6ef24622e90237219185703bf95d8087503f5944e81f61,0,0,2017-07-07T00:30:00.000,046853c39e9f7502cc5c2ae6fc11c0252a7a69e3,14.7,1620,2017-07-07T00:00:00.000,43,,,
4,Top Cab Affiliation,,41.968069,"{'type': 'Point', 'coordinates': [-87.7215590627, 41.968069]}",-87.72155906,14,1.5,23,Cash,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,cce26db27b3d8d566473e326d450541ea93cbcec5ed6d427488a80714dce6a46ad04bb91b326240a9cfba45cbc1580feca5a11fd49afaca4f254f4df2545a471,0,0,2017-07-07T00:15:00.000,054d6a17e6796d231ed56e8f61cde90fcf5e86d9,8.6,900,2017-07-07T00:00:00.000,24.5,,,
5,Northwest Management LLC,,41.9442266,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",-87.65599818,6,0,10.25,Credit Card,,41.90120699,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",-87.67635599,24,4dd67761f315fa120778bcce9de01d3b69439346d88ef650224dfd405039ed06074452034a1da9e836afa915cb52de3e5c1deba11473f5db2ab8ef4ef9cb21ae,2,0,2017-07-07T00:15:00.000,05d99e2abdacc1c184c7ae1c5d85d7615065e142,2.8,720,2017-07-07T00:00:00.000,12.25,,,
6,,,41.92268628,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",-87.64948873,7,1,10.5,Credit Card,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,ee97564f06fa3d9f3b91c737e2fba31d61078abc92c685fd46e01411eed365385d2501851102c85600eb64b51293ec0c778005379297e739e56ea79efc83f3f8,3,0,2017-07-07T00:15:00.000,08d46e32e1573f0be066eb9612c14718d9282f94,2.89,657,2017-07-07T00:00:00.000,15,,,
7,,,41.92268628,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",-87.64948873,7,0,6.75,Cash,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,3f6562a2a18861cf21a21101c14cc91dd7c4d72cdce80f3252c67c3ddf96b1a2546c01536f3c9adc5c13fa75b274398ca154d7a4bdc41fc99f768d8801f6bdfe,0,0,2017-07-07T00:00:00.000,0ac16c53329e7ba2549c7b5382c9092a871665b0,1.28,373,2017-07-07T00:00:00.000,6.75,,,
8,Northwest Management LLC,,41.87886558,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",-87.62519214,32,1,8,Credit Card,,41.90120699,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",-87.67635599,24,182738fe701aff980860adbe8c50444f6edfb7adcf06a9b6091a346d05e6b261f681c1c3a230e5ab50a2c5318d8e09179e9b60184890bafaf434dbb3a1d45110,2,0,2017-07-07T00:15:00.000,0aea01a8950b83c4594881c73665b3bbaa531812,1.5,480,2017-07-07T00:00:00.000,11,,,
9,Choice Taxi Association,,41.92276062,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",-87.69915534,22,4,34.25,Credit Card,,41.98026432,"{'type': 'Point', 'coordinates': [-87.913624596, 41.9802643146]}",-87.9136246,76,2c2846e06a06b51bf72e041bce82b95d5471941476ff25f9dc57a53f1be89850bab3ff974c911e1eb13e2be3392cd74ab84cef84c380c94a4b6f4658744904d7,7.65,0,2017-07-07T00:15:00.000,118e8e7dcb64c9a50dca59e73fb78d380ab776bd,13.4,1200,2017-07-07T00:00:00.000,45.9,,,
